Disease / condition	Agent type	Genus	Species / taxon	Agent / strain / subgroup	Coverage	Notes	Reference	Use	Link
Coccidioidomycosis	Fungus	Coccidioides	Coccidioides posadasii	C. posadasii	Established cause				
Congenital rubella syndrome/infection	Virus	Rubivirus	Rubella virus	Rubella virus	Maternal infection	Congenital disease follows maternal rubella infection.			
Congenital syphilis	Bacterium	Treponema	Treponema pallidum	T. pallidum subsp. pallidum	Maternal infection	Congenital transmission of syphilis.			
COVID-19	Virus	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	SARS-CoV-2	Established cause				
Creutzfeldt-Jakob disease	Prion	—	—	Misfolded prion protein (PrPSc)	Causative agent	Not a cellular organism; includes sporadic, familial and iatrogenic forms.			
Cryptosporidiosis	Parasite (protozoan)	Cryptosporidium	Cryptosporidium hominis	C. hominis	Major human cause				
Cryptosporidiosis	Parasite (protozoan)	Cryptosporidium	Cryptosporidium parvum	C. parvum	Major human cause	Other Cryptosporidium species can infect humans.			
Cyclosporiasis	Parasite (protozoan)	Cyclospora	Cyclospora cayetanensis	C. cayetanensis	Established cause				
Dengue virus infection	Virus	Orthoflavivirus	Dengue virus	Dengue virus serotypes 1–4	Established cause				
Diphtheria	Bacterium	Corynebacterium	Corynebacterium diphtheriae	Toxigenic C. diphtheriae	Primary cause				
Diphtheria	Bacterium	Corynebacterium	Corynebacterium ulcerans	Toxigenic C. ulcerans	Cause				
Diphtheria	Bacterium	Corynebacterium	Corynebacterium pseudotuberculosis	Toxigenic C. pseudotuberculosis	Rare cause				
Donovanosis	Bacterium	Klebsiella	Klebsiella granulomatis	K. granulomatis	Established cause				
Ehrlichiosis	Bacterium	Ehrlichia	Ehrlichia chaffeensis	E. chaffeensis	Major human cause				
Ehrlichiosis	Bacterium	Ehrlichia	Ehrlichia ewingii	E. ewingii	Human cause				
Ehrlichiosis	Bacterium	Ehrlichia	Ehrlichia muris eauclairensis	E. muris eauclairensis	Human cause				
Flavivirus infection, unspecified	Virus	Orthoflavivirus	Multiple species	Unspecified orthoflavivirus	Umbrella category	May include dengue, Japanese encephalitis, Murray Valley encephalitis, West Nile/Kunjin, yellow fever, Zika and related viruses.			
Food- or water-borne illness cluster	Multiple / undetermined	Multiple	Multiple	Bacteria, viruses, parasites or toxins	Syndrome/cluster category	Agent may be unknown at notification; examples include Salmonella, Campylobacter, norovirus, Cryptosporidium and foodborne toxins.			
Gastroenteritis in an institution or food handler	Multiple / undetermined	Multiple	Multiple	Commonly norovirus; also bacteria and parasites	Syndrome/outbreak category	Agent may be unknown at notification.			
Gastroenteritis in children under 2 years	Multiple / undetermined	Multiple	Multiple	Commonly rotavirus, norovirus, adenovirus or enteric bacteria	Syndrome category	Agent may be unknown at notification.			
Giardiasis	Parasite (protozoan)	Giardia	Giardia duodenalis	G. duodenalis	Established cause	Synonyms include G. lamblia and G. intestinalis.			
Gonococcal infection	Bacterium	Neisseria	Neisseria gonorrhoeae	N. gonorrhoeae	Established cause				
Gonococcal ophthalmia/conjunctivitis	Bacterium	Neisseria	Neisseria gonorrhoeae	N. gonorrhoeae	Established cause				
Haemolytic uraemic syndrome	Bacterium	Escherichia	Escherichia coli	Shiga toxin-producing E. coli	Major infectious cause	Often STEC, including O157:H7; HUS also has non-infectious causes.			
Haemolytic uraemic syndrome	Bacterium	Shigella	Shigella dysenteriae	S. dysenteriae type 1	Infectious cause	Less common.			
Haemophilus influenzae type b, invasive	Bacterium	Haemophilus	Haemophilus influenzae	H. influenzae type b	Established cause				
Haemophilus influenzae, invasive non-type-b	Bacterium	Haemophilus	Haemophilus influenzae	Non-type-b or non-typeable H. influenzae	Established cause	Includes capsular types other than b and non-typeable strains, depending on the jurisdiction.			
Hantavirus disease	Virus	Orthohantavirus	Multiple species	Hantaviruses	Umbrella category	Includes Sin Nombre, Andes, Hantaan, Seoul, Puumala and related viruses.			
Hendra virus infection	Virus	Henipavirus	Hendra virus	Hendra virus	Established cause				
Hepatitis A	Virus	Hepatovirus	Hepatovirus A	Hepatitis A virus	Established cause				
Hepatitis B	Virus	Orthohepadnavirus	Orthohepadnavirus hominoidei	Hepatitis B virus	Established cause				
Hepatitis C	Virus	Hepacivirus	Hepacivirus hominis	Hepatitis C virus	Established cause				
Hepatitis D	Virus	Deltavirus	—	Hepatitis D virus	Established cause	A satellite virus requiring hepatitis B virus for productive infection.			
Hepatitis E	Virus	Paslahepevirus	Paslahepevirus balayani	Hepatitis E virus	Established cause				
Hepatitis, not elsewhere classified	Multiple / undetermined	Multiple	Multiple	Other or undetermined infectious hepatitis agents	Umbrella category	May include viruses and other infectious agents not captured by named hepatitis categories.			
Herpes zoster (shingles)	Virus	Varicellovirus	Human alphaherpesvirus 3	Varicella-zoster virus	Reactivation	Reactivation of latent varicella-zoster virus.			
HIV infection / AIDS	Virus	Lentivirus	Human immunodeficiency virus 1	HIV-1	Primary global cause				
HIV infection / AIDS	Virus	Lentivirus	Human immunodeficiency virus 2	HIV-2	Cause				
Human T-cell lymphotropic virus type 1 (HTLV-1)	Virus	Deltaretrovirus	Primate T-lymphotropic virus 1	Human T-cell lymphotropic virus type 1	Established cause				
Hydatid infection (echinococcosis)	Parasite (cestode)	Echinococcus	Echinococcus granulosus sensu lato	E. granulosus species complex	Cystic echinococcosis				
Hydatid infection (echinococcosis)	Parasite (cestode)	Echinococcus	Echinococcus multilocularis	E. multilocularis	Alveolar echinococcosis				
Influenza of zoonotic/novel origin	Virus	Alphainfluenzavirus	Influenza A virus	Novel or zoonotic influenza A virus	Primary category	Includes animal-origin or novel human influenza A subtypes.			
Influenza of zoonotic/novel origin	Virus	Betainfluenzavirus	Influenza B virus	Novel influenza B variant	Possible category	Rare; reporting definitions vary.			
Influenza-associated paediatric death	Virus	Alphainfluenzavirus / Betainfluenzavirus	Influenza A virus or Influenza B virus	Seasonal influenza viruses	Associated infection	Surveillance outcome category rather than a distinct agent.			
Influenza, laboratory confirmed	Virus	Alphainfluenzavirus	Influenza A virus	Influenza A virus	Major cause				
Influenza, laboratory confirmed	Virus	Betainfluenzavirus	Influenza B virus	Influenza B virus	Major cause				
Influenza, laboratory confirmed	Virus	Gammainfluenzavirus	Influenza C virus	Influenza C virus	Less common cause	Reporting definitions may focus on influenza A and B.			
Invasive group A streptococcal disease	Bacterium	Streptococcus	Streptococcus pyogenes	Group A Streptococcus	Established cause				
Invasive meningococcal disease	Bacterium	Neisseria	Neisseria meningitidis	Meningococcus	Established cause				
Invasive pneumococcal disease	Bacterium	Streptococcus	Streptococcus pneumoniae	Pneumococcus	Established cause				
Japanese encephalitis virus infection	Virus	Orthoflavivirus	Japanese encephalitis virus	Japanese encephalitis virus	Established cause				
Lead exposure / elevated blood lead	Not applicable	—	—	Lead	No organism	Toxic metal exposure.			
Legionellosis	Bacterium	Legionella	Legionella pneumophila	L. pneumophila	Major cause				
Legionellosis	Bacterium	Legionella	Legionella longbeachae	L. longbeachae	Important cause	Particularly important in Australia; other Legionella species can cause disease.			
Leprosy (Hansen disease)	Bacterium	Mycobacterium	Mycobacterium leprae	M. leprae	Primary cause				
Leprosy (Hansen disease)	Bacterium	Mycobacterium	Mycobacterium lepromatosis	M. lepromatosis	Cause				
Leptospirosis	Bacterium	Leptospira	Pathogenic Leptospira spp.	Leptospira species	Umbrella category	Includes L. interrogans and other pathogenic species.			
Listeriosis	Bacterium	Listeria	Listeria monocytogenes	L. monocytogenes	Established cause				
Lyme disease	Bacterium	Borrelia	Borrelia burgdorferi	B. burgdorferi sensu stricto	Major cause	Especially in North America.			
Lyme disease	Bacterium	Borrelia	Borrelia mayonii	B. mayonii	Cause	North America.			
Lyme disease	Bacterium	Borrelia	Borrelia afzelii	B. afzelii	Cause	Eurasia.			
Lyme disease	Bacterium	Borrelia	Borrelia garinii	B. garinii	Cause	Eurasia.			
Lymphogranuloma venereum	Bacterium	Chlamydia	Chlamydia trachomatis	C. trachomatis serovars L1–L3	Established cause				
Lyssavirus infection, other/unspecified	Virus	Lyssavirus	Multiple species	Lyssavirus species	Umbrella category	Includes rabies virus and non-rabies lyssaviruses.			
Malaria	Parasite (protozoan)	Plasmodium	Plasmodium falciparum	P. falciparum	Major human cause				
Malaria	Parasite (protozoan)	Plasmodium	Plasmodium vivax	P. vivax	Major human cause				
Malaria	Parasite (protozoan)	Plasmodium	Plasmodium malariae	P. malariae	Human cause				
Malaria	Parasite (protozoan)	Plasmodium	Plasmodium ovale	P. ovale complex	Human cause	Includes P. ovale curtisi and P. ovale wallikeri.			
Malaria	Parasite (protozoan)	Plasmodium	Plasmodium knowlesi	P. knowlesi	Zoonotic human cause				
Measles	Virus	Morbillivirus	Measles virus	Measles virus	Established cause				
Melioidosis	Bacterium	Burkholderia	Burkholderia pseudomallei	B. pseudomallei	Established cause				
Middle East respiratory syndrome (MERS)	Virus	Betacoronavirus	Middle East respiratory syndrome-related coronavirus	MERS-CoV	Established cause				
Motor neurone disease	Not applicable	—	—	No single causative organism	No organism	Neurodegenerative disease; most cases are multifactorial or of unknown cause.			
Mpox	Virus	Orthopoxvirus	Monkeypox virus	Mpox virus	Established cause				
Mumps	Virus	Orthorubulavirus	Mumps virus	Mumps virus	Established cause				
Murray Valley encephalitis virus infection	Virus	Orthoflavivirus	Murray Valley encephalitis virus	Murray Valley encephalitis virus	Established cause				
Neonatal herpes	Virus	Simplexvirus	Human alphaherpesvirus 1	Herpes simplex virus type 1	Cause				
Neonatal herpes	Virus	Simplexvirus	Human alphaherpesvirus 2	Herpes simplex virus type 2	Major cause				
Non-tuberculous mycobacterial disease	Bacterium	Mycobacterium	Mycobacterium avium complex	M. avium complex	Common representative	Large umbrella group; species distribution depends on syndrome and setting.			
Non-tuberculous mycobacterial disease	Bacterium	Mycobacterium	Mycobacterium abscessus	M. abscessus complex	Common representative	Representative, not exhaustive.			
Non-tuberculous mycobacterial disease	Bacterium	Mycobacterium	Mycobacterium kansasii	M. kansasii	Common representative	Representative, not exhaustive.			
Paratyphoid fever	Bacterium	Salmonella	Salmonella enterica	S. enterica serovars Paratyphi A, B or C	Established cause				
Pertussis (whooping cough)	Bacterium	Bordetella	Bordetella pertussis	B. pertussis	Established cause				
Plague	Bacterium	Yersinia	Yersinia pestis	Y. pestis	Established cause				
Poliovirus infection	Virus	Enterovirus	Enterovirus C	Poliovirus types 1–3	Established cause				
Powassan virus disease	Virus	Orthoflavivirus	Powassan virus	Powassan virus	Established cause				
Psittacosis (ornithosis)	Bacterium	Chlamydia	Chlamydia psittaci	C. psittaci	Established cause				
Q fever	Bacterium	Coxiella	Coxiella burnetii	C. burnetii	Established cause				
Rabies	Virus	Lyssavirus	Rabies lyssavirus	Rabies virus	Established cause				
Relapsing fever	Bacterium	Borrelia	Borrelia recurrentis	B. recurrentis	Louse-borne relapsing fever				
Relapsing fever	Bacterium	Borrelia	Multiple Borrelia species	Tick-borne relapsing fever Borrelia	Tick-borne relapsing fever	Includes B. hermsii, B. turicatae, B. miyamotoi and others.			
Respiratory syncytial virus infection	Virus	Orthopneumovirus	Human orthopneumovirus	Respiratory syncytial virus (RSV)	Established cause				
Rheumatic heart disease	Bacterium	Streptococcus	Streptococcus pyogenes	Group A Streptococcus	Precipitating infection	Chronic immune-mediated sequela of rheumatic fever.			
Ross River virus infection	Virus	Alphavirus	Ross River virus	Ross River virus	Established cause				
Rotavirus infection	Virus	Rotavirus	Rotavirus A	Group A rotavirus	Primary human cause	Other rotavirus species rarely infect humans.			
Rubella	Virus	Rubivirus	Rubella virus	Rubella virus	Established cause				
Salmonellosis	Bacterium	Salmonella	Salmonella enterica	Non-typhoidal Salmonella serovars	Primary category	Many serovars; occasionally other Salmonella species/subspecies.			
Scabies, crusted	Parasite (mite)	Sarcoptes	Sarcoptes scabiei	S. scabiei var. hominis	Established cause				
Severe acute respiratory syndrome (SARS)	Virus	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	SARS-CoV-1	Established cause				
Shiga toxin-producing E. coli infection	Bacterium	Escherichia	Escherichia coli	Shiga toxin-producing E. coli (STEC)	Pathotype	Includes O157:H7 and many non-O157 serotypes.			
Shigellosis	Bacterium	Shigella	Shigella sonnei	S. sonnei	Major cause				
Shigellosis	Bacterium	Shigella	Shigella flexneri	S. flexneri	Major cause				
Shigellosis	Bacterium	Shigella	Shigella dysenteriae	S. dysenteriae	Cause				
Shigellosis	Bacterium	Shigella	Shigella boydii	S. boydii	Cause				
Silicosis	Not applicable	—	—	Respirable crystalline silica	No organism	Occupational pneumoconiosis caused by mineral-dust exposure.			
Smallpox	Virus	Orthopoxvirus	Variola virus	Variola virus	Established cause				
Spotted fever rickettsiosis	Bacterium	Rickettsia	Rickettsia rickettsii	R. rickettsii	Major representative	Rocky Mountain spotted fever.			
Spotted fever rickettsiosis	Bacterium	Rickettsia	Rickettsia parkeri	R. parkeri	Representative cause				
Spotted fever rickettsiosis	Bacterium	Rickettsia	Rickettsia africae	R. africae	Representative cause	African tick-bite fever.			
Spotted fever rickettsiosis	Bacterium	Rickettsia	Rickettsia australis	R. australis	Representative cause	Queensland tick typhus.			
Strongyloidiasis, extra-intestinal	Parasite (nematode)	Strongyloides	Strongyloides stercoralis	S. stercoralis	Established cause				
Syphilis	Bacterium	Treponema	Treponema pallidum	T. pallidum subsp. pallidum	Established cause				
Tetanus	Bacterium	Clostridium	Clostridium tetani	C. tetani	Established cause	Illness is toxin-mediated.			
Toxic shock syndrome, non-streptococcal	Bacterium	Staphylococcus	Staphylococcus aureus	Toxin-producing S. aureus	Primary cause	Usually mediated by toxic shock syndrome toxin or enterotoxins.			
Trichinellosis	Parasite (nematode)	Trichinella	Trichinella spiralis	T. spiralis	Major cause				
Trichinellosis	Parasite (nematode)	Trichinella	Other Trichinella spp.	Other Trichinella species	Cause	Includes T. britovi, T. nativa and others.			
Trichomoniasis	Parasite (protozoan)	Trichomonas	Trichomonas vaginalis	T. vaginalis	Established cause				
Tuberculosis	Bacterium	Mycobacterium	Mycobacterium tuberculosis	M. tuberculosis	Primary cause	Member of the M. tuberculosis complex.			
Tuberculosis	Bacterium	Mycobacterium	Mycobacterium bovis	M. bovis	Cause	Member of the M. tuberculosis complex.			
Tuberculosis	Bacterium	Mycobacterium	Mycobacterium africanum	M. africanum	Cause	Member of the M. tuberculosis complex.			
Tularaemia	Bacterium	Francisella	Francisella tularensis	F. tularensis	Established cause				
Typhoid fever	Bacterium	Salmonella	Salmonella enterica	S. enterica serovar Typhi	Established cause				
Typhus	Bacterium	Rickettsia	Rickettsia prowazekii	R. prowazekii	Epidemic typhus				
Typhus	Bacterium	Rickettsia	Rickettsia typhi	R. typhi	Murine typhus				
Typhus	Bacterium	Orientia	Orientia tsutsugamushi	O. tsutsugamushi	Scrub typhus	Taxonomically distinct from Rickettsia.			
Vancomycin-intermediate/resistant Staphylococcus aureus	Bacterium	Staphylococcus	Staphylococcus aureus	VISA/VRSA	Resistance phenotype	Defined by vancomycin susceptibility phenotype.			
Variant Creutzfeldt-Jakob disease	Prion	—	—	Misfolded prion protein (PrPSc)	Causative agent	Not a cellular organism; associated with the bovine spongiform encephalopathy agent.			
Varicella (chickenpox)	Virus	Varicellovirus	Human alphaherpesvirus 3	Varicella-zoster virus	Primary infection				
Varicella-zoster infection, unspecified	Virus	Varicellovirus	Human alphaherpesvirus 3	Varicella-zoster virus	Established cause	Includes primary infection or reactivation when presentation is unspecified.			
Vibrio parahaemolyticus infection	Bacterium	Vibrio	Vibrio parahaemolyticus	V. parahaemolyticus	Established cause				
Vibriosis (all reportable Vibrio species)	Bacterium	Vibrio	Vibrio vulnificus	V. vulnificus	Major representative				
Vibriosis (all reportable Vibrio species)	Bacterium	Vibrio	Vibrio parahaemolyticus	V. parahaemolyticus	Major representative				
Vibriosis (all reportable Vibrio species)	Bacterium	Vibrio	Vibrio cholerae	Non-O1/non-O139 V. cholerae	Representative cause	Epidemic cholera strains are usually reported under cholera.			
Viral haemorrhagic fever	Virus	Orthoebolavirus	Multiple species	Ebola viruses	Representative cause	Umbrella category; list is not exhaustive.			
Viral haemorrhagic fever	Virus	Orthomarburgvirus	Multiple species	Marburg and Ravn viruses	Representative cause	Umbrella category; list is not exhaustive.			
Viral haemorrhagic fever	Virus	Mammarenavirus	Lassa mammarenavirus	Lassa virus	Representative cause	Umbrella category; list is not exhaustive.			
Viral haemorrhagic fever	Virus	Orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus	Crimean-Congo haemorrhagic fever virus	Representative cause	Umbrella category; list is not exhaustive.			
West Nile/Kunjin virus infection	Virus	Orthoflavivirus	West Nile virus	West Nile virus, including Kunjin subtype/lineage	Established cause				
Western/eastern equine and St Louis encephalitis	Virus	Alphavirus	Eastern equine encephalitis virus	Eastern equine encephalitis virus	Named category				
Western/eastern equine and St Louis encephalitis	Virus	Alphavirus	Western equine encephalitis virus	Western equine encephalitis virus	Named category				
Western/eastern equine and St Louis encephalitis	Virus	Orthoflavivirus	St. Louis encephalitis virus	St. Louis encephalitis virus	Named category				
Yellow fever	Virus	Orthoflavivirus	Yellow fever virus	Yellow fever virus	Established cause				
Yersiniosis	Bacterium	Yersinia	Yersinia enterocolitica	Y. enterocolitica	Major cause				
Yersiniosis	Bacterium	Yersinia	Yersinia pseudotuberculosis	Y. pseudotuberculosis	Cause				
Zika virus infection	Virus	Orthoflavivirus	Zika virus	Zika virus	Established cause				
